TILEID,LASTNIGHT,FIBER,CLUSTER
25399,20220923,4912,0
25073,20220218,4733,0
25073,20220218,4891,0
25073,20220218,4923,0
4854,20211104,357,0
25830,20230511,4923,0
6895,20220409,3448,0
25856,20220513,357,0
21560,20211216,4733,0
21560,20211216,4891,0
20607,20220317,651,0
42496,20230506,4507,-1
42496,20230506,4891,0
23990,20211120,4891,0
26286,20230225,4738,0
20958,20220121,651,0
41022,20220613,357,0
23077,20230226,357,0
22489,20230207,4891,0
24406,20211116,651,0
20599,20230209,466,0
23226,20220213,2171,0
10509,20230906,651,0
23397,20220322,466,0
40412,20231215,4923,-1
1723,20220102,4891,0
6052,20220107,357,0
26219,20211024,4891,0
24311,20240320,4849,0
41708,20230907,3448,0
25509,20231119,2171,0
8797,20221125,466,0
9618,20211030,4923,0
21640,20230530,4912,0
22301,20230502,4849,0
41239,20230108,4507,0
41239,20230108,4849,0
23197,20230520,4849,0
25691,20211021,651,0
83388,20240327,466,0
5977,20221223,466,0
26249,20220212,3448,0
3132,20231021,4923,0
25404,20211015,4891,0
80879,20210321,2171,0
25333,20230304,4733,0
25333,20230304,4738,0
25333,20230304,4912,0
22121,20210923,466,0
23225,20220206,3448,0
23869,20230407,466,0
21584,20230208,2171,0
309,20210407,4912,0
23640,20220527,4849,0
23807,20221123,4507,0
41501,20211206,4733,-1
41501,20211206,4738,0
41501,20211206,4891,0
41501,20211206,4923,0
20048,20230406,4912,0
25193,20220502,466,0
20265,20220417,651,0
2557,20211130,466,0
43029,20230310,4738,0
43029,20230310,4849,0
43029,20230310,4912,0
10725,20230128,2171,0
8019,20230417,3448,0
21063,20221112,4733,0
21063,20221112,4849,0
24830,20230409,2171,0
6158,20240317,4507,0
25298,20220414,4891,0
25298,20220414,4912,0
6421,20231009,466,0
9328,20211014,4891,0
4830,20211104,466,0
25492,20230505,4733,0
41695,20221013,3448,0
2989,20220531,4738,0
23938,20230927,4733,0
22102,20210923,357,0
20857,20230620,2171,0
22036,20231217,4849,0
22036,20231217,4912,0
22754,20220512,4733,0
22754,20220512,4923,0
24518,20211212,4738,0
9427,20220123,4891,0
20440,20231214,2171,0
20856,20230617,4891,0
24473,20231231,2171,0
24093,20240311,4923,0
24059,20240302,466,0
23559,20230410,4923,0
41523,20231204,4891,0
4664,20230814,357,0
6288,20220505,651,0
6561,20230906,4733,0
25390,20211114,4891,0
2763,20221017,4891,0
22078,20230524,4738,0
42495,20220514,2171,-1
25690,20211020,4849,0
25690,20211020,4891,0
20302,20210626,4507,0
20302,20210626,4738,0
20302,20210626,4891,0
22728,20220510,4507,0
22728,20220510,4733,0
22728,20220510,4849,0
23852,20220212,2171,0
5803,20220605,466,0
20686,20211119,4849,0
20686,20211119,4891,0
40525,20240319,4507,0
22475,20230414,3448,0
2394,20231213,4891,0
20579,20220516,4738,0
25853,20220317,4507,0
25853,20220317,4849,0
25853,20220317,4891,0
24648,20220330,3448,0
40133,20220511,357,0
25144,20230211,4912,0
11487,20220322,4891,0
4867,20220508,4738,0
4867,20220508,4849,0
4867,20220508,4912,0
9286,20220321,4912,0
9286,20220321,4923,0
20901,20210705,466,0
23868,20230406,651,0
11336,20240117,651,0
40890,20230212,2171,0
7728,20230510,357,0
21632,20230402,357,0
42518,20220416,4912,-1
124,20210430,4891,0
25397,20221013,651,0
43048,20230316,4891,0
9840,20211130,2171,0
21965,20220414,4733,0
42500,20220529,4738,0
1103,20210604,4507,0
80647,20210320,4891,0
25825,20220213,3448,0
43,20210415,4733,0
26031,20220108,4507,0
22020,20230506,466,0
8968,20221030,2171,0
42762,20221207,4891,0
41899,20230602,4849,-1
20644,20220315,4923,0
40227,20220316,4849,0
20759,20230408,4849,0
26249,20220212,357,0
26249,20220212,466,0
21948,20220219,4912,0
24317,20230402,466,0
20704,20211125,4891,0
41643,20230111,4912,0
22907,20230304,651,0
9738,20240229,2171,0
1463,20240212,4849,0
7712,20240114,4891,0
24456,20220213,4507,0
24446,20230129,4733,0
42495,20220514,3448,0
2520,20220131,357,0
8641,20230113,4923,0
26060,20230226,4891,0
27591,20240319,4733,0
26210,20221121,4849,0
26210,20221121,4891,0
26210,20221121,4912,0
40070,20220910,4912,-1
40070,20220910,4923,0
24350,20220125,4733,0
24350,20220125,4923,0
5513,20211106,4738,0
10496,20220605,4507,0
41947,20230830,4923,0
40192,20221031,4733,0
40192,20221031,4891,0
25403,20231120,2171,0
25265,20220121,4849,0
20603,20211129,466,0
40412,20231215,466,0
41686,20211220,4507,0
41686,20211220,4912,0
41686,20211220,4923,0
24982,20230331,651,0
25361,20220317,4507,0
25361,20220317,4891,0
25422,20221123,2171,0
20664,20211111,4923,0
6932,20231002,4891,0
2999,20220915,4912,0
6946,20211010,357,0
23505,20240329,2171,0
80609,20201217,4849,0
25001,20230507,4891,0
23606,20230202,2171,0
4159,20230906,466,0
328,20210409,4507,0
11679,20231203,4733,0
23727,20230323,2171,0
23252,20220304,4891,0
7355,20220309,466,0
24757,20230505,2171,0
42807,20230120,357,0
26216,20220211,4733,0
24233,20220113,2171,0
10865,20230328,466,0
24713,20240321,651,0
21969,20220513,4923,0
21171,20230413,2171,0
2062,20211007,4849,0
8005,20230418,4912,0
1494,20240212,4891,0
40072,20230419,651,-1
23909,20220513,4891,0
22870,20220209,4849,0
5926,20240403,357,0
24846,20231113,4733,0
20009,20211023,4849,0
20009,20211023,4891,0
22594,20211016,2171,0
21697,20240115,4849,0
41252,20220227,4891,0
41252,20220227,4923,0
23525,20220414,651,0
5281,20220103,4923,0
7602,20240118,4507,0
21246,20211021,4507,0
26869,20231215,2171,0
23706,20230207,4733,0
42535,20230602,466,0
42879,20240220,466,0
40999,20230308,4733,0
21480,20231013,651,0
25909,20220125,4507,0
9989,20240407,3448,0
502,20210512,466,0
22151,20230423,4891,0
6486,20230906,4912,0
2135,20220429,3448,0
25895,20220317,4507,0
25895,20220317,4891,0
2973,20230519,466,0
5858,20231005,4912,0
20559,20221127,4507,0
20559,20221127,4738,0
20559,20221127,4891,0
7602,20240118,466,0
4073,20230127,4507,0
42060,20231110,651,0
23788,20230308,651,0
23733,20220414,4738,0
23497,20221207,4891,0
43070,20221202,651,0
7397,20231006,4738,0
20659,20220314,651,0
24514,20230310,4891,0
27800,20231125,4891,0
40979,20230405,3448,0
25349,20230207,357,0
342,20210429,466,0
83347,20230428,2171,0
21918,20220219,4891,0
22431,20230602,4738,0
22431,20230602,4891,0
6054,20240212,4891,0
21186,20220513,4923,0
8987,20231006,4738,0
23904,20230505,4738,0
23904,20230505,4849,0
24316,20220416,466,0
27619,20240319,651,0
9455,20240130,466,0
2280,20211013,4891,0
23799,20220318,651,0
42728,20240131,4891,0
24932,20230409,4507,0
24932,20230409,4849,0
8950,20231016,466,0
3637,20230520,466,0
83453,20240310,466,0
40449,20240128,2171,0
23911,20220514,3448,0
25829,20230511,4923,0
23738,20230303,2171,0
8292,20230924,2171,0
20928,20210621,4849,0
20706,20211220,357,0
21818,20220513,3448,0
83201,20221209,4923,0
8992,20231003,4507,0
25645,20221011,357,0
2698,20230620,651,0
24260,20220211,2171,0
41498,20231019,4891,-1
22711,20221009,3448,0
24921,20230312,357,0
24921,20230312,466,0
20463,20230413,4849,0
41156,20240220,4738,0
22645,20220508,357,0
41954,20231119,4733,0
6853,20240130,4733,0
3566,20240112,2171,0
6821,20220601,357,0
20645,20220120,651,0
8774,20220309,357,0
42531,20230501,651,0
22323,20230410,4891,0
25021,20211019,4738,0
25021,20211019,4849,0
24185,20211219,357,0
41686,20211220,3448,0
21265,20231011,4912,0
6819,20220515,357,0
21411,20211020,4912,0
10473,20220524,2171,0
23787,20220512,466,0
42259,20211217,2171,0
1610,20220219,357,0
41773,20220111,651,-1
23578,20230512,4923,0
40130,20230531,466,0
42075,20230419,3448,0
23608,20230419,4738,0
24731,20240327,4738,0
24342,20240320,2171,0
26941,20240223,4507,0
26941,20240223,4738,0
22367,20220106,2171,0
25427,20230531,3448,0
24447,20221019,466,0
20937,20231029,4891,0
40351,20230419,4923,-1
23380,20230309,651,0
593,20210511,651,0
2525,20221121,4912,0
502,20210512,4849,0
21410,20230126,357,0
6823,20220406,466,0
11475,20240409,4733,0
42384,20240319,2171,0
42754,20240127,4733,0
42754,20240127,4912,0
6404,20211105,4733,0
22191,20240102,4738,0
23040,20230915,2171,0
41736,20230109,4891,0
40889,20230111,4891,0
3673,20240214,4733,0
25508,20221104,651,0
24476,20230207,466,0
25332,20211129,3448,0
22494,20231123,651,0
23557,20230406,466,0
425,20210504,4733,0
42672,20230401,4912,0
8623,20240112,4849,0
20267,20220202,4891,0
4402,20220205,2171,0
42753,20230906,2171,0
23911,20220514,4891,0
23911,20220514,4912,0
24118,20220120,4733,0
25971,20211219,357,0
26074,20230119,2171,0
6388,20220930,4507,0
21750,20230107,4849,0
22025,20230316,4891,0
25074,20220218,466,0
20272,20220402,651,0
4587,20230417,4733,0
41047,20220613,4912,-1
24819,20220213,2171,0
42261,20220925,2171,0
21328,20240223,2171,0
1229,20230313,4733,0
25109,20220611,4738,0
22910,20231029,4507,0
21610,20230502,4738,0
6960,20221028,4923,0
21470,20230109,4849,0
23607,20230202,357,0
5503,20220218,4507,0
5503,20220218,4891,0
20236,20210618,4891,0
3821,20231107,2171,0
5302,20220401,3448,0
2166,20230429,4912,0
25728,20231120,4738,0
25728,20231120,4849,0
25728,20231120,4891,0
6681,20240102,4912,0
3533,20211204,4891,0
24642,20211219,466,0
25818,20230104,4849,0
24796,20220413,4849,0
24796,20220413,4891,0
41486,20230310,4733,0
41486,20230310,4738,0
43010,20231126,357,0
3927,20231210,4733,0
1807,20220106,4891,0
42250,20211218,4507,0
42250,20211218,4923,0
196,20210419,4891,0
9403,20240114,4923,0
3835,20211027,4912,0
25466,20230406,466,0
20314,20211015,466,0
22028,20220227,357,0
26695,20240327,466,0
21521,20230104,4507,0
21521,20230104,4733,0
21521,20230104,4891,0
